bbox_label,category,latitude,longitude,tags
35.0_-81.0,traffic_signals,35.3215979,-80.6555999,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.3644840,-80.5842240,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,crossing,35.4321840,-80.5946510,"{'crossing': 'marked', 'highway': 'crossing'}"
35.0_-81.0,traffic_signals,35.4086709,-80.5791969,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'both'}"
35.0_-81.0,traffic_signals,35.4499530,-80.6006190,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'both'}"
35.0_-81.0,traffic_signals,35.2921150,-80.6513660,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.3833490,-80.6862740,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'both'}"
35.0_-81.0,traffic_signals,35.3736647,-80.7243826,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.4326073,-80.6044701,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'both'}"
35.0_-81.0,traffic_signals,35.4094986,-80.5781392,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'both'}"
35.0_-81.0,crossing,35.4060898,-80.5731900,"{'crossing': 'marked', 'highway': 'crossing'}"
35.0_-81.0,traffic_signals,35.3897010,-80.5919670,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'backward'}"
35.0_-81.0,traffic_signals,35.4078509,-80.5802760,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'both'}"
35.0_-81.0,crossing,35.4359360,-80.6604217,"{'crossing': 'traffic_signals', 'highway': 'crossing'}"
35.0_-81.0,traffic_signals,35.4437013,-80.6132029,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,crossing,35.3253608,-80.6489728,"{'crossing': 'unmarked', 'crossing:markings': 'no', 'highway': 'crossing'}"
35.0_-81.0,traffic_signals,35.4185205,-80.7457189,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.4047611,-80.7069223,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.4021585,-80.6987005,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'forward'}"
35.0_-81.0,traffic_signals,35.4069152,-80.6764156,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.4109970,-80.6694620,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.3759115,-80.5518040,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'backward'}"
